********************************
Villa availability
********************************
1: Scrape webpages and store data
2: Load data and visualize it
********************************
Your choice: 2
--- Show NMB data ---
+ ------------------------------ + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- ‖ -------- + -------- + -------- + -------- + -------- + -------- + -------- +
| Villa                          | Jan 2025 | Feb 2025 | Mar 2025 | Apr 2025 | May 2025 | Jun 2025 | Jul 2025 | Aug 2025 | Sep 2025 | Oct 2025 | Nov 2025 | Dec 2025 | Jan 2026 | Feb 2026 | Mar 2026 | Apr 2026 | May 2026 | Jun 2026 ‖ Jul 2026 | Aug 2026 | Sep 2026 | Oct 2026 | Nov 2026 | Dec 2026 | Avg 2026 |
+ ------------------------------ + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- ‖ -------- + -------- + -------- + -------- + -------- + -------- + -------- +
| Luxury Villa Madison Garden    |     48.4 |     92.9 |     41.9 |      0.0 |      0.0 |     23.3 |     29.0 |     38.7 |      0.0 |      0.0 |      0.0 |     58.1 |      9.7 |     78.6 |     80.6 |     93.3 |     45.2 |     43.3 ‖     19.4 |      0.0 |      0.0 |      0.0 |     23.3 |     22.6 |     34.7 |
| Luxury Villa Silversands       |    100.0 |    100.0 |     90.3 |     93.3 |      6.5 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      3.3 |     38.7 |     12.9 |    100.0 |     77.4 |     33.3 |      6.5 |     40.0 ‖     38.7 |      0.0 |     40.0 |     16.1 |     53.3 |     41.9 |     38.4 |
| Luxusvilla Caloo               |      0.0 |      0.0 |     80.6 |     53.3 |     22.6 |      0.0 |      3.2 |      0.0 |      0.0 |     45.2 |      0.0 |     16.1 |     32.3 |     96.4 |     16.1 |     33.3 |     29.0 |      0.0 ‖     83.9 |     71.0 |      0.0 |      0.0 |      0.0 |      0.0 |     30.2 |
| Luxusvilla Horizon             |    100.0 |     96.4 |     90.3 |     50.0 |     54.8 |     16.7 |     22.6 |     35.5 |      0.0 |     77.4 |    100.0 |    100.0 |    100.0 |    100.0 |     96.8 |     90.0 |     67.7 |     10.0 ‖     54.8 |      0.0 |      0.0 |     61.3 |     36.7 |     38.7 |     54.7 |
| Villa Aquamarine               |     74.2 |    100.0 |     90.3 |     70.0 |     67.7 |     53.3 |     38.7 |     87.1 |      3.3 |     80.6 |     86.7 |     58.1 |     38.7 |    100.0 |    100.0 |     96.7 |     45.2 |     56.7 ‖     71.0 |     25.8 |     56.7 |     93.5 |     86.7 |     93.5 |     72.0 |
| Villa Athene                   |    100.0 |    100.0 |    100.0 |     56.7 |     25.8 |     76.7 |     96.8 |      6.5 |      0.0 |      0.0 |     63.3 |     41.9 |     87.1 |    100.0 |     93.5 |     86.7 |     38.7 |     43.3 ‖     54.8 |      0.0 |      0.0 |      0.0 |     43.3 |      3.2 |     45.9 |
| Villa Barbara                  |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |     45.2 |     83.3 |     74.2 |     67.7 |    100.0 |    100.0 |     76.7 |     87.1 |     86.7 ‖     41.9 |      3.2 |      0.0 |     19.4 |    100.0 |     48.4 |     60.9 |
| Villa Bella Luna               |     83.9 |     96.4 |     93.5 |     93.3 |     64.5 |     40.0 |     71.0 |     96.8 |     23.3 |     90.3 |     46.7 |     41.9 |     93.5 |    100.0 |    100.0 |     83.3 |     83.9 |     73.3 ‖     51.6 |     48.4 |     46.7 |     48.4 |      0.0 |     38.7 |     64.0 |
| Villa Blue Diamond             |      0.0 |      0.0 |     77.4 |     40.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      6.5 |     86.7 |     32.3 |     16.1 |     78.6 |     74.2 |     46.7 |      0.0 |      0.0 ‖      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |     18.0 |
