********************************
Villa availability
********************************
1: Scrape webpages and store data
2: Load data and visualize it
3: Compare this year with the last
********************************
Your choice: 3
--- Compare nmb year over year ---
--- Jan-Jun 2025 vs Jan-Jun 2026 (percentage points) ---
+ ------------------------------ + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- +
| Villa                          |      Jan |      Feb |      Mar |      Apr |      May |      Jun |     2025 |     2026 |    Delta |
+ ------------------------------ + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- +
| Luxury Villa Madison Garden    |    -38.7 |    -14.3 |    +38.7 |    +93.3 |    +45.2 |    +20.0 |     34.4 |     58.5 |    +24.0 |
| Luxury Villa Silversands       |    -87.1 |     +0.0 |    -12.9 |    -60.0 |     +0.0 |    +40.0 |     65.0 |     45.0 |    -20.0 |
| Luxusvilla Caloo               |    +32.3 |    +96.4 |    -64.5 |    -20.0 |     +6.5 |     +0.0 |     26.1 |     34.5 |     +8.4 |
| Luxusvilla Horizon             |     +0.0 |     +3.6 |     +6.5 |    +40.0 |    +12.9 |     -6.7 |     68.0 |     77.4 |     +9.4 |
| Villa Aquamarine               |    -35.5 |     +0.0 |     +9.7 |    +26.7 |    -22.6 |     +3.3 |     75.9 |     72.9 |     -3.1 |
| Villa Athene                   |    -12.9 |     +0.0 |     -6.5 |    +30.0 |    +12.9 |    -33.3 |     76.5 |     74.9 |     -1.6 |
| Villa Barbara                  |    +67.7 |   +100.0 |   +100.0 |    +76.7 |    +87.1 |    +86.7 |      0.0 |     86.4 |    +86.4 |
| Villa Bella Luna               |     +9.7 |     +3.6 |     +6.5 |    -10.0 |    +19.4 |    +33.3 |     78.6 |     89.0 |    +10.4 |
| Villa Blue Diamond             |    +16.1 |    +78.6 |     -3.2 |     +6.7 |     +0.0 |     +0.0 |     19.6 |     35.9 |    +16.4 |
| Villa Blue Island              |    -54.8 |     +0.0 |     +0.0 |    -36.7 |     +0.0 |     +0.0 |     48.0 |     32.8 |    -15.3 |
| Villa Blue Moon                |    -19.4 |     +0.0 |     +0.0 |     +0.0 |     -6.5 |     -3.3 |     79.6 |     74.7 |     -4.9 |
| Villa Bon Voyage               |    +29.0 |    -10.7 |     +3.2 |    -36.7 |    -83.9 |     +0.0 |     66.6 |     50.1 |    -16.5 |
